lr,bsize,weight_decay,layers,loss
0.001,32.0,1e-06,model_params9,0.0957745686173439
0.001,64.0,0.0001,model_params1,0.09627941995859146
0.001,64.0,0.0001,model_params2,0.09603342413902283
0.001,64.0,0.0001,model_params3,0.0964868888258934
0.001,64.0,0.0001,model_params4,0.09638720750808716
0.001,64.0,0.0001,model_params5,0.09595844149589539
0.001,64.0,0.0001,model_params6,0.0955619290471077
0.001,64.0,0.0001,model_params9,0.09552460163831711
0.001,64.0,0.01,model_params1,0.09597769379615784
0.001,64.0,0.01,model_params2,0.09572099149227142
0.001,64.0,0.01,model_params3,0.09580215066671371
0.001,64.0,0.01,model_params4,0.0960054025053978
0.001,64.0,0.01,model_params5,0.09626834839582443
0.001,64.0,0.01,model_params6,0.10110384225845337
0.001,64.0,0.01,model_params9,0.10527121275663376
0.001,64.0,1e-06,model_params1,0.09783526510000229
0.001,64.0,1e-06,model_params2,0.09634602069854736
0.001,64.0,1e-06,model_params3,0.0958184003829956
0.001,64.0,1e-06,model_params4,0.09566966444253922
0.001,64.0,1e-06,model_params5,0.09668853133916855
0.001,64.0,1e-06,model_params6,0.09542334079742432
0.001,64.0,1e-06,model_params9,0.09554518759250641
0.01,16.0,0.0001,model_params1,0.09560839831829071
0.01,16.0,0.0001,model_params2,0.09535795450210571
0.01,16.0,0.0001,model_params3,0.09506593644618988
0.01,16.0,0.0001,model_params4,0.0949428454041481
0.01,16.0,0.0001,model_params5,0.095125712454319
0.01,16.0,0.0001,model_params6,0.10527855157852173
0.01,16.0,0.0001,model_params9,0.10527566820383072
0.01,16.0,0.01,model_params1,0.09568856656551361
0.01,16.0,0.01,model_params2,0.0963926911354065
0.01,16.0,0.01,model_params3,0.10527254641056061
0.01,16.0,0.01,model_params4,0.10527648776769638
0.01,16.0,0.01,model_params5,0.10528787970542908
0.01,16.0,0.01,model_params6,0.10527897626161575
0.01,16.0,0.01,model_params9,0.10529658943414688
0.01,16.0,1e-06,model_params1,0.09565553814172745
0.01,16.0,1e-06,model_params2,0.0956437811255455
0.01,16.0,1e-06,model_params3,0.09581742435693741
0.01,16.0,1e-06,model_params4,0.09596455842256546
0.01,16.0,1e-06,model_params5,0.0961437001824379
0.01,16.0,1e-06,model_params6,0.09779457747936249
0.01,16.0,1e-06,model_params9,0.10528966784477234
0.01,32.0,0.0001,model_params1,0.09586333483457565
0.01,32.0,0.0001,model_params2,0.09560003876686096
0.01,32.0,0.0001,model_params3,0.09589411318302155
0.01,32.0,0.0001,model_params4,0.09579604864120483
0.01,32.0,0.0001,model_params5,0.09562414884567261
0.01,32.0,0.0001,model_params6,0.10532249510288239
0.01,32.0,0.0001,model_params9,0.09529021382331848
0.01,32.0,0.01,model_params1,0.09560319781303406
0.01,32.0,0.01,model_params2,0.09581902623176575
0.01,32.0,0.01,model_params3,0.10442347079515457
0.01,32.0,0.01,model_params4,0.1052687019109726
0.01,32.0,0.01,model_params5,0.10528679937124252
0.01,32.0,0.01,model_params6,0.10547660291194916
0.01,32.0,0.01,model_params9,0.10549557209014893
0.01,32.0,1e-06,model_params1,0.09553040564060211
0.01,32.0,1e-06,model_params2,0.09620575606822968
0.01,32.0,1e-06,model_params3,0.09571162611246109
0.01,32.0,1e-06,model_params4,0.09580787271261215
0.01,32.0,1e-06,model_params5,0.09537927061319351
0.01,32.0,1e-06,model_params6,0.09533056616783142
0.01,32.0,1e-06,model_params9,0.09564370661973953
0.01,64.0,0.0001,model_params1,0.09616163372993469
0.01,64.0,0.0001,model_params2,0.09540881216526031
0.01,64.0,0.0001,model_params3,0.09573312103748322
0.01,64.0,0.0001,model_params4,0.09555619955062866
0.01,64.0,0.0001,model_params5,0.09598903357982635
0.01,64.0,0.0001,model_params6,0.09553389996290207
0.01,64.0,0.0001,model_params9,0.10527680069208145
0.01,64.0,0.01,model_params1,0.09574589133262634
0.01,64.0,0.01,model_params2,0.09575054049491882
0.01,64.0,0.01,model_params3,0.09591881930828094
0.01,64.0,0.01,model_params4,0.0961073487997055
0.01,64.0,0.01,model_params5,0.10527501255273819
0.01,64.0,0.01,model_params6,0.10527244210243225
0.01,64.0,0.01,model_params9,0.10528101772069931
0.01,64.0,1e-06,model_params1,0.09606736898422241
0.01,64.0,1e-06,model_params2,0.09565068781375885
0.01,64.0,1e-06,model_params3,0.09566191583871841
0.01,64.0,1e-06,model_params4,0.09541767090559006
0.01,64.0,1e-06,model_params5,0.09566400200128555
0.01,64.0,1e-06,model_params6,0.0963636115193367
0.01,64.0,1e-06,model_params9,0.10527116805315018
