Target_variable,Algorithm,PCA_not,transform,home_away,train_error,rmse,max_error,mae,r^2,best_params
pointspread,Light,not_PCA,standard,away,-9.4,12.83,47.34,10.05,0.19,"{'subsample': 0.9, 'objective': 'regression', 'num_leaves': 2, 'n_estimators': 78, 'min_data_in_leaf': 31, 'max_depth': 93, 'learning_rate': 0.1, 'feature_fraction': 0.6, 'boosting': 'gbdt'}"
pointspread,Light,not_PCA,standard,home,-9.39,12.79,45.61,9.98,0.2,"{'subsample': 0.3, 'objective': 'huber', 'num_leaves': 12, 'n_estimators': 81, 'min_data_in_leaf': 71, 'max_depth': 23, 'learning_rate': 0.6, 'feature_fraction': 0.9, 'boosting': 'gbdt'}"
pointspread,Light,not_PCA,standard,not_need,not_need,12.81,47.34,10.02,0.22,not_need
PTS,Light,not_PCA,standard,not_need,not_need,13.07,48.38,10.23,0.19,not_need
pointspread,LR,not_PCA,minmax,away,-9.46,12.76,47.77,10.01,0.2,"{'fit_intercept': False, 'positive': False}/nrooted_mean_squared_error:12.75852930826728/nmax_error:47.76591555771222/nmean_absolute_error:10.005753991624749/nr2_score:0.19911760233610376"
pointspread,LR,not_PCA,minmax,home,-9.47,12.75,47.93,10.01,0.2,"{'fit_intercept': False, 'positive': False}/nrooted_mean_squared_error:12.752894398461425/nmax_error:47.9334756150142/nmean_absolute_error:10.014630592366583/nr2_score:0.19982487876070243"
pointspread,LR,not_PCA,minmax,not_need,not_need,12.76,47.93,10.01,0.23,not_need
PTS,LR,not_PCA,minmax,not_need,not_need,12.79,47.23,10.02,0.22,not_need
pointspread,LR,not_PCA,standard,away,-9.46,12.76,47.33,10,0.2,"{'fit_intercept': True, 'positive': False}/nrooted_mean_squared_error:12.757731100346131/nmax_error:47.331439880739644/nmean_absolute_error:10.004659768576161/nr2_score:0.1992178099166222"
pointspread,LR,not_PCA,standard,home,-9.48,12.76,48.17,10.03,0.2,"{'fit_intercept': True, 'positive': False}/nrooted_mean_squared_error:12.760954340719703/nmax_error:48.16841798639784/nmean_absolute_error:10.029448291944439/nr2_score:0.19881312360926373"
pointspread,LR,not_PCA,standard,not_need,not_need,12.76,48.17,10.02,0.22,not_need
PTS,LR,not_PCA,standard,not_need,not_need,12.79,47.23,10.02,0.22,not_need
pointspread,RF,not_PCA,minmax,away,-9.48,12.89,45.84,10.09,0.18,"{'n_estimators': 78, 'min_samples_split': 38, 'min_samples_leaf': 4, 'min_impurity_decrease': 0.1, 'max_features': 30, 'max_depth': 60}/nrooted_mean_squared_error:12.888553484910709/nmax_error:45.84043964896768/nmean_absolute_error:10.085130497364808/nr2_score:0.1827105862652787"
pointspread,RF,not_PCA,minmax,home,-9.47,12.9,46.35,10.07,0.18,"{'n_estimators': 63, 'min_samples_split': 8, 'min_samples_leaf': 4, 'min_impurity_decrease': 0.1, 'max_features': 35, 'max_depth': 30}/nrooted_mean_squared_error:12.904085926189344/nmax_error:46.349730325255706/nmean_absolute_error:10.073177888848337/nr2_score:0.18073951183375148"
pointspread,RF,not_PCA,minmax,not_need,not_need,12.9,46.35,10.08,0.21,not_need
PTS,RF,not_PCA,minmax,not_need,not_need,13.16,47.41,10.28,0.18,not_need
pointspread,RF,not_PCA,standard,away,-9.48,12.88,44.99,10.08,0.18,"{'n_estimators': 78, 'min_samples_split': 38, 'min_samples_leaf': 4, 'min_impurity_decrease': 0.1, 'max_features': 30, 'max_depth': 60}/nrooted_mean_squared_error:12.87879012974643/nmax_error:44.98548694808474/nmean_absolute_error:10.081329596465787/nr2_score:0.18394834572550012"
pointspread,RF,not_PCA,standard,home,-9.47,12.86,46.11,10.03,0.19,"{'n_estimators': 63, 'min_samples_split': 8, 'min_samples_leaf': 4, 'min_impurity_decrease': 0.1, 'max_features': 35, 'max_depth': 30}/nrooted_mean_squared_error:12.858398723818329/nmax_error:46.10927500475156/nmean_absolute_error:10.029849467856458/nr2_score:0.18653046201105372"
pointspread,RF,not_PCA,standard,not_need,not_need,12.87,46.11,10.06,0.21,not_need
PTS,RF,not_PCA,standard,not_need,not_need,13.12,46.38,10.28,0.18,not_need
pointspread,Ridge,not_PCA,minmax,away,-9.44,12.73,46.93,9.99,0.2,"{'alpha': 10, 'fit_intercept': True, 'solver': 'saga'}"
pointspread,Ridge,not_PCA,minmax,home,-9.44,12.73,47.06,10,0.2,"{'alpha': 10, 'fit_intercept': False, 'solver': 'sag'}"
pointspread,Ridge,not_PCA,minmax,not_need,not_need,12.73,47.06,10,0.23,not_need
PTS,Ridge,not_PCA,minmax,not_need,not_need,12.79,46.97,10.02,0.22,not_need
pointspread,Ridge,not_PCA,standard,away,-9.44,12.74,47.23,9.99,0.2,"{'alpha': 100, 'fit_intercept': True, 'solver': 'lsqr'}"
pointspread,Ridge,not_PCA,standard,home,-9.44,12.74,47.52,10,0.2,"{'alpha': 100, 'fit_intercept': True, 'solver': 'lsqr'}"
pointspread,Ridge,not_PCA,standard,not_need,not_need,12.74,47.52,9.99,0.23,not_need
PTS,Ridge,not_PCA,standard,not_need,not_need,12.78,47.07,10.01,0.22,not_need
pointspread,SGD,not_PCA,minmax,away,-9.39,12.69,47.48,9.93,0.21,"{'alpha': 0.01, 'fit_intercept': False, 'learning_rate': 'adaptive', 'penalty': 'l1'}"
pointspread,SGD,not_PCA,minmax,home,-9.4,12.69,47.07,9.93,0.21,"{'alpha': 0.01, 'fit_intercept': False, 'learning_rate': 'adaptive', 'penalty': 'l1'}"
pointspread,SGD,not_PCA,minmax,not_need,not_need,12.69,47.48,9.93,0.23,not_need
PTS,SGD,not_PCA,minmax,not_need,not_need,12.8,47.13,10.03,0.22,not_need
pointspread,SGD,not_PCA,standard,away,-9.39,12.71,47.46,9.95,0.21,"{'alpha': 0.1, 'fit_intercept': True, 'learning_rate': 'invscaling', 'penalty': 'l1'}"
pointspread,SGD,not_PCA,standard,home,-9.41,12.75,47.84,10,0.2,"{'alpha': 0.1, 'fit_intercept': True, 'learning_rate': 'invscaling', 'penalty': 'l1'}"
pointspread,SGD,not_PCA,standard,not_need,not_need,12.73,47.84,9.98,0.23,not_need
PTS,SGD,not_PCA,standard,not_need,not_need,12.78,47.13,10.02,0.22,not_need
pointspread,SVM,not_PCA,minmax,away,-9.48,12.73,46.62,9.98,0.2,"{'C': 1, 'kernel': 'linear'}/nrooted_mean_squared_error:12.725046912575904/nmax_error:46.622351184583984/nmean_absolute_error:9.9754570300381/nr2_score:0.2033156214948063"
pointspread,SVM,not_PCA,minmax,home,-9.5,12.75,47.33,10.01,0.2,"{'C': 1, 'kernel': 'linear'}/nrooted_mean_squared_error:12.753558063693395/nmax_error:47.33376416386959/nmean_absolute_error:10.009984213172748/nr2_score:0.19974159378886203"
pointspread,SVM,not_PCA,minmax,not_need,not_need,12.74,47.33,9.99,0.23,not_need
PTS,SVM,not_PCA,minmax,not_need,not_need,12.78,45.98,9.99,0.22,not_need
pointspread,SVM,not_PCA,standard,away,-9.49,12.75,46.89,9.98,0.2,"{'C': 0.1, 'kernel': 'linear'}/nrooted_mean_squared_error:12.745472620656612/nmax_error:46.88784303799545/nmean_absolute_error:9.976971707266339/nr2_score:0.2007559605521596"
pointspread,SVM,not_PCA,standard,home,-9.53,12.76,47.48,10.01,0.2,"{'C': 0.1, 'kernel': 'linear'}/nrooted_mean_squared_error:12.760846254147598/nmax_error:47.480462456238214/nmean_absolute_error:10.008751236424887/nr2_score:0.198826695819308"
pointspread,SVM,not_PCA,standard,not_need,not_need,12.75,47.48,9.99,0.23,not_need
PTS,SVM,not_PCA,standard,not_need,not_need,12.78,46.22,10,0.22,not_need
pointspread,DNN,PCA,minmax,away,not_need,12.84,46.36,10.05,0.19,not_need
pointspread,DNN,PCA,minmax,home,not_need,12.83,46.53,10.02,0.19,not_need
pointspread,DNN,PCA,minmax,not_need,not_need,12.84,46.53,10.04,0.22,not_need
pointspread,DNN,PCA,standard,away,not_need,12.73,46.8,9.93,0.2,not_need
pointspread,DNN,PCA,standard,home,not_need,12.73,47.06,9.92,0.2,not_need
pointspread,DNN,PCA,standard,not_need,not_need,12.73,47.06,9.93,0.23,not_need
pointspread,DTR,PCA,minmax,away,-9.52,12.92,46.47,10.14,0.18,"{'splitter': 'best', 'min_weight_fraction_leaf': 0.1, 'min_samples_split': 32, 'min_samples_leaf': 19, 'min_impurity_decrease': 0.1, 'max_features': None, 'max_depth': 30}"
pointspread,DTR,PCA,minmax,home,-9.53,12.92,46.47,10.14,0.18,"{'splitter': 'best', 'min_weight_fraction_leaf': 0.1, 'min_samples_split': 32, 'min_samples_leaf': 19, 'min_impurity_decrease': 0.1, 'max_features': None, 'max_depth': 30}"
pointspread,DTR,PCA,minmax,not_need,not_need,12.92,46.47,10.14,0.21,not_need
PTS,DTR,PCA,minmax,not_need,not_need,14.15,49,11.17,0.05,not_need
pointspread,DTR,PCA,standard,away,-9.52,12.92,46.47,10.14,0.18,"{'splitter': 'best', 'min_weight_fraction_leaf': 0.1, 'min_samples_split': 32, 'min_samples_leaf': 19, 'min_impurity_decrease': 0.1, 'max_features': None, 'max_depth': 30}"
pointspread,DTR,PCA,standard,home,-9.53,12.92,46.47,10.14,0.18,"{'splitter': 'best', 'min_weight_fraction_leaf': 0.1, 'min_samples_split': 32, 'min_samples_leaf': 19, 'min_impurity_decrease': 0.1, 'max_features': None, 'max_depth': 30}"
pointspread,DTR,PCA,standard,not_need,not_need,12.92,46.47,10.14,0.21,not_need
PTS,DTR,PCA,standard,not_need,not_need,14.15,49,11.17,0.05,not_need
pointspread,GBR,PCA,minmax,away,-9.53,12.97,46.18,10.17,0.17,"{'subsample': 0.6, 'n_estimators': 83, 'min_samples_split': 92, 'min_samples_leaf': 91, 'min_impurity_decrease': 0.9, 'max_features': 20, 'max_depth': 53, 'loss': 'lad', 'learning_rate': 0.1, 'alpha': 0.1}"
pointspread,GBR,PCA,minmax,home,-9.52,12.86,47.36,10.02,0.19,"{'subsample': 0.6, 'n_estimators': 83, 'min_samples_split': 92, 'min_samples_leaf': 91, 'min_impurity_decrease': 0.9, 'max_features': 20, 'max_depth': 53, 'loss': 'lad', 'learning_rate': 0.1, 'alpha': 0.1}"
pointspread,GBR,PCA,minmax,not_need,not_need,12.92,47.36,10.09,0.21,not_need
PTS,GBR,PCA,minmax,not_need,not_need,13.33,47.7,10.45,0.15,not_need
