lr,bsize,weight_decay,layers,loss
0.001,32.0,0.0001,model_params4,0.09667966514825821
0.001,32.0,0.0001,model_params5,0.09689595550298691
0.001,32.0,0.0001,model_params6,0.09688414633274078
0.001,32.0,0.0001,model_params9,0.09678712487220764
0.001,32.0,0.01,model_params1,0.096429243683815
0.001,32.0,0.01,model_params2,0.0960470587015152
0.001,32.0,0.01,model_params3,0.09598882496356964
0.001,32.0,0.01,model_params4,0.09610256552696228
0.001,32.0,0.01,model_params5,0.09625716507434845
0.001,32.0,0.01,model_params6,0.1027456745505333
0.001,32.0,0.01,model_params9,0.10527140647172928
0.001,16.0,1e-06,model_params1,0.09685523062944412
0.001,16.0,1e-06,model_params2,0.09667182713747025
0.001,16.0,1e-06,model_params3,0.0962563008069992
0.001,16.0,1e-06,model_params4,0.09571214020252228
0.001,16.0,1e-06,model_params5,0.09597022831439972
0.001,16.0,1e-06,model_params6,0.09589000046253204
0.001,16.0,1e-06,model_params9,0.09597525745630264
0.001,16.0,0.0001,model_params1,0.0966796725988388
0.001,16.0,0.0001,model_params2,0.09647691249847412
0.001,16.0,0.0001,model_params3,0.09618712216615677
0.001,16.0,0.0001,model_params4,0.09618911147117615
0.001,16.0,0.0001,model_params5,0.09587018936872482
0.001,16.0,0.0001,model_params6,0.09606099873781204
0.001,16.0,0.0001,model_params9,0.09579796344041824
0.001,16.0,0.01,model_params1,0.09632842987775803
0.001,16.0,0.01,model_params2,0.09607413411140442
0.001,16.0,0.01,model_params3,0.09611118584871292
0.001,16.0,0.01,model_params4,0.0962374359369278
0.001,16.0,0.01,model_params5,0.09637485444545746
0.001,16.0,0.01,model_params6,0.10513980686664581
0.001,16.0,0.01,model_params9,0.10534931719303131
0.01,64.0,1e-06,model_params1,0.09620600938796997
0.01,64.0,1e-06,model_params2,0.09631910175085068
0.01,64.0,1e-06,model_params3,0.09637153893709183
0.01,64.0,1e-06,model_params4,0.09577928483486176
0.01,64.0,1e-06,model_params5,0.0961393490433693
0.01,64.0,1e-06,model_params6,0.09724853187799454
0.01,64.0,1e-06,model_params9,0.10527117550373077
0.01,64.0,0.0001,model_params1,0.09644252806901932
0.01,64.0,0.0001,model_params2,0.09581936150789261
0.01,64.0,0.0001,model_params3,0.0960787832736969
0.01,64.0,0.0001,model_params4,0.09624743461608887
0.01,64.0,0.0001,model_params5,0.09634890407323837
0.01,64.0,0.0001,model_params6,0.10527175664901733
0.01,64.0,0.0001,model_params9,0.10527241975069046
0.01,64.0,0.01,model_params1,0.09611769765615463
0.01,64.0,0.01,model_params2,0.09608930349349976
0.01,64.0,0.01,model_params3,0.09637102484703064
0.01,64.0,0.01,model_params4,0.10521336644887924
0.01,64.0,0.01,model_params5,0.10527264326810837
0.01,64.0,0.01,model_params6,0.10527190566062927
0.01,64.0,0.01,model_params9,0.10527575761079788
0.01,32.0,1e-06,model_params1,0.09614334255456924
0.01,32.0,1e-06,model_params2,0.09606258571147919
0.01,32.0,1e-06,model_params3,0.09592251479625702
0.01,32.0,1e-06,model_params4,0.09629439562559128
0.01,32.0,1e-06,model_params5,0.09601254761219025
0.01,32.0,1e-06,model_params6,0.10530075430870056
0.01,32.0,1e-06,model_params9,0.10529989749193192
0.01,32.0,0.0001,model_params1,0.09601662307977676
0.01,32.0,0.0001,model_params2,0.0958336740732193
0.01,32.0,0.0001,model_params3,0.09596890956163406
0.01,32.0,0.0001,model_params4,0.09587632864713669
0.01,32.0,0.0001,model_params5,0.09597156196832657
0.01,32.0,0.0001,model_params6,0.10532335937023163
0.01,32.0,0.0001,model_params9,0.10539163649082184
0.01,32.0,0.01,model_params1,0.09602147340774536
0.01,32.0,0.01,model_params2,0.09638500213623047
0.01,32.0,0.01,model_params3,0.0968632772564888
0.01,32.0,0.01,model_params4,0.10532418638467789
0.01,32.0,0.01,model_params5,0.10537225753068924
0.01,32.0,0.01,model_params6,0.10537777841091156
0.01,32.0,0.01,model_params9,0.105372354388237
0.01,16.0,1e-06,model_params1,0.09594113379716873
0.01,16.0,1e-06,model_params2,0.095789335668087
0.01,16.0,1e-06,model_params3,0.09588470309972763
0.01,16.0,1e-06,model_params4,0.09621235728263855
0.01,16.0,1e-06,model_params5,0.09607570618391037
0.01,16.0,1e-06,model_params6,0.10344134271144867
0.01,16.0,1e-06,model_params9,0.10518735647201538
0.01,16.0,0.0001,model_params1,0.09583942592144012
0.01,16.0,0.0001,model_params2,0.0958772823214531
0.01,16.0,0.0001,model_params3,0.0957462266087532
0.01,16.0,0.0001,model_params4,0.09548517316579819
0.01,16.0,0.0001,model_params5,0.0955839604139328
0.01,16.0,0.0001,model_params6,0.09609799087047577
0.01,16.0,0.0001,model_params9,0.10534131526947021
0.01,16.0,0.01,model_params1,0.09588196873664856
0.01,16.0,0.01,model_params2,0.09786857664585114
0.01,16.0,0.01,model_params3,0.10527591407299042
0.01,16.0,0.01,model_params4,0.10528064519166946
0.01,16.0,0.01,model_params5,0.1052728220820427
0.01,16.0,0.01,model_params6,0.10527662187814713
0.01,16.0,0.01,model_params9,0.10527554154396057
