pointspread,PCA1,PCA2,PCA3,PCA4,PCA5,PCA6,PCA7,PCA8,PCA9,PCA10,PCA11,PCA12,PCA13,PCA14,PCA15,PCA16,PCA17,PCA18,PCA19,PCA20,PCA21,PCA22,PCA23,PCA24,PCA25,PCA26,PCA27,PCA28,PCA29,PCA30,PCA31,PCA32,PCA33,PCA34,PCA35,PCA36,PCA37,PCA38,PCA39,PCA40
27,2.699323025,-6.857459454,0.044530183,1.490838976,-1.672365413,-0.746648162,-5.07396406,-0.938619058,-0.774622033,5.058890778,2.117756957,-2.675043758,0.871747296,0.308152425,-0.504201121,1.896902416,2.975211521,0.867213493,0.776828388,-0.440022923,-2.200420094,0.033583333,-1.348878898,1.844857976,-0.377529978,-0.208697805,1.548569036,-1.731000165,-2.924265832,0.156462813,-1.110310627,0.49598891,1.938758594,-0.966563371,-1.373436678,-3.805159093,0.830441258,-0.535839676,1.804566721,-1.572025122
-10,3.604077072,-0.374211564,3.151079055,-4.576304952,2.49036994,-0.36216364,-1.093046769,0.421514018,0.671006629,1.178736361,3.77021383,0.28344224,1.294643263,1.567334544,1.724627011,4.201179587,-4.980134015,-0.420330569,-1.016323404,-0.292035644,2.052698534,-0.92543954,-2.686651719,0.017471992,0.404421172,0.303107032,-0.297911257,0.63733194,1.277297409,-0.421299551,-1.439698977,1.957891574,-0.985218712,2.8013383,-0.104179567,0.72722469,0.502927936,0.041515763,1.485134615,-1.264704002
8,13.07793894,-4.762435285,7.905139971,-6.32771048,4.568172886,1.386011225,-3.472698669,3.698750714,-2.094910738,4.351139755,5.073207436,5.135297272,4.693739889,0.308307195,-2.522770453,-0.548684233,1.808109903,1.268718476,0.88993944,-3.255270886,0.536591896,-1.114151645,-2.794535717,-0.817408099,1.699987719,0.392186377,-0.414088434,2.34356685,-1.611045728,0.304854441,0.620654701,-1.50719805,-0.533287429,2.52714251,-0.072155929,2.625821387,3.426527315,-3.464300551,0.137934704,1.334553175
-4,2.286360826,-4.452400471,1.152819543,4.673427127,-0.308834951,4.910099601,-1.991284291,-4.378694152,-0.11550212,-3.827646552,2.279992025,-1.464977953,0.091008207,-0.877477904,-0.20749139,-1.626605779,0.088009353,-0.358632961,0.49093513,2.957105128,1.934296759,0.592183937,-1.363978093,1.43082169,1.266633396,1.989455496,1.830307573,-2.009527921,0.127275271,-0.203132986,0.755897189,0.063476992,-0.842507992,-0.723592085,0.418098558,-1.187749834,-0.617477553,-0.25901801,-0.471931289,0.563445438
3,1.671051897,-8.389011824,-1.633042697,7.029728017,1.494663449,-1.330386515,-0.138863711,-1.109026606,0.723430901,-1.964609868,-0.989565404,-0.044580972,0.44076928,0.133855903,0.952504945,-4.259711409,4.533917086,0.61740119,0.418716382,-1.5242419,1.982836625,0.30027481,0.684276831,1.931180696,-0.966672677,1.471714712,-2.147112115,-0.859692318,0.01382237,0.419964952,1.762631088,-0.478351655,0.759232673,1.606066864,0.338633011,0.158777255,0.660416316,-0.695581524,0.385302738,-0.594823725
3,1.373064047,-7.513800389,-0.512626109,1.807400932,-1.868800031,2.935641527,-0.76394504,1.461845319,-5.432540958,-1.531901238,-0.526349267,0.888505711,2.152990729,1.294662448,4.564795899,-1.457489613,-2.063334099,-0.010029156,0.95248761,0.520776597,0.183317245,1.134042601,0.112819047,1.553950911,-0.546264252,0.617251485,0.30319982,-1.253118181,2.745834396,-0.836939705,-0.635497634,-0.778705622,-0.437147358,0.807138933,-0.04445682,0.708251633,1.234402399,0.273203836,1.912923755,-1.586806384
10,0.55565379,-2.69917981,2.772239115,5.639817751,-1.694126411,2.515312599,-0.766542094,0.6140546,-1.807998036,1.724623708,-0.601868021,-0.559731837,0.657735739,0.965150271,1.315856133,0.20910034,1.446644708,2.20266932,1.534678928,-0.511870815,1.241812039,0.197244957,-0.612188445,0.1466653,1.727693876,0.64330664,0.83574132,-0.268322746,0.721910384,0.372775497,-1.273031379,-0.609196615,-0.685485229,0.630763443,0.001550223,-1.222820386,0.567393236,0.955909017,2.971891401,-1.661558518
-3,6.475052684,2.806439175,-2.141195805,-2.065550186,-4.431842621,-0.170622688,-0.665092123,3.892591904,-4.009118874,-3.594130204,0.469976521,-0.23486358,-0.552395663,-2.107608612,0.579848226,1.615782641,-0.546842925,-3.378500152,-0.491337456,1.330868074,-1.315049587,-0.811344155,0.718191686,-0.697104779,1.356582327,-0.251592059,1.061339648,1.534686342,0.264396863,-0.286000785,0.506360576,-0.918869835,-0.006213502,2.348577651,1.241450965,-0.219480306,0.468149567,1.545009585,0.726669901,-0.336942077
29,6.708005886,-7.4957446,1.107849809,-2.113898494,-3.378910818,1.448620769,-4.236092723,-3.157195871,3.075221252,-0.661017421,-1.748903449,0.571601038,2.243607956,0.117741268,1.006810369,2.748525285,1.802262359,1.646600404,-1.549223246,0.281193733,-0.849456311,-0.113918308,-0.149146006,0.165305547,1.231150766,1.247103362,-0.143654627,0.474833245,0.810942016,2.130531761,-0.012345475,-0.158798768,0.020955674,1.265298874,-0.22552654,-2.070154127,0.940152319,-0.554866744,0.238236973,1.328319924
16,4.062219908,-8.952968538,-1.216785348,2.637939612,-2.188132086,3.904265917,0.569649646,4.191652366,2.683675324,4.164970273,2.205202181,-3.115764584,-3.718250561,-0.060847342,1.267809487,0.517363368,-4.201013106,0.931690859,-2.980844956,-3.812413612,0.563702899,-0.87448614,-1.158637416,0.462384119,0.36625046,-1.708024741,0.423269602,1.167130722,-1.310517341,1.409543081,-0.180820334,0.702241821,1.588997782,-1.06235668,-0.944005399,-0.055231858,2.852614973,0.223356302,-1.120771154,0.023642749
-9,0.655876452,1.427173508,0.680693339,-3.707412108,-3.041124472,2.178467714,-9.489622824,-1.509713802,-4.159763615,2.084681938,-1.031508846,0.424438803,-0.789737546,1.735912975,-0.660029911,-2.461812125,1.958848111,-1.207745496,1.773067586,-0.037544799,2.047554335,-0.71045483,-1.284070798,1.989687819,-0.140593277,-0.206636971,1.627342649,-0.365017335,-1.355437173,-0.564225167,1.579612155,-0.119188451,0.234197518,-0.504667435,1.219962899,-1.10528038,-0.513381425,-1.167148703,-0.254875006,-1.595591984
21,2.360476797,-9.603201919,5.9945916,3.191245966,0.374719719,-2.604479787,3.723936924,2.420984943,2.082084241,2.224172743,-2.596633704,0.536813434,-1.89771037,-0.721160556,2.161436108,0.726927472,2.198142363,1.837893767,0.710695713,-2.669602947,1.342504872,-0.824785892,-0.680005338,2.925042711,-2.287465137,0.977066101,1.2751309,-2.51871902,-2.245927506,1.590081061,-0.181027226,0.714331871,1.107335658,-1.995907448,0.123070952,-2.57796963,-0.005853448,-0.969895307,-3.26550469,-0.771223068
19,7.940007993,-2.208934206,3.299681864,2.949632605,-1.003627254,2.597607258,7.305561901,0.706484475,1.827061928,1.381376344,0.165385379,-1.437254474,-3.534068769,-2.369864156,-1.735816934,2.481096935,2.172681581,1.058734734,-1.117429845,0.302250148,-2.496334307,0.604762712,-0.582104922,3.452898173,-2.209978464,1.054427903,-1.657062076,-1.277074707,-1.321295543,-0.140609291,-0.620675223,0.428557562,1.274313116,0.254322695,-0.889238127,-2.391606934,0.604900145,-0.615401858,0.643775409,0.201331569
-11,2.355571109,-0.727376843,0.826227657,6.324667857,-1.620244039,3.284094017,-0.845945955,-0.574317893,3.979342165,1.965136013,-2.132886208,0.387129389,0.058394448,-2.060976693,-1.213824363,0.298763912,3.126045513,1.77634927,-1.913408111,0.985524036,-0.722031992,0.237882425,-0.203185217,0.967576554,0.200594678,1.787969201,-1.137978428,-0.289376305,-1.392090007,-1.953203321,1.814128322,0.708615781,3.240604282,-0.444829915,-0.018803238,-1.741428243,2.83284518,-0.426177983,-0.1661869,-2.942976086
23,-1.551651213,-8.470857646,-0.340322425,4.288827565,-0.621979475,-0.835342855,-1.703565868,0.382364713,-1.0934769,-0.322758452,0.990238288,0.021198222,1.493354922,2.421629848,-1.224900681,1.117517484,-0.570007601,0.093250918,-0.512692482,-2.47228224,-0.513468751,-0.574343005,-2.395125089,0.35805132,-0.025500542,1.086687014,1.874901993,-2.933254632,-1.497991588,-0.0307925,0.381996622,2.504211201,-0.062527984,-1.005841118,-1.325788634,-1.203165323,0.765098891,-0.271565117,-0.021366408,-1.26002182
-7,2.282144822,-4.342339544,0.011949971,3.365563877,-1.645788547,5.55838463,-3.71683874,-3.209553119,-1.407225373,-3.989132793,2.321749555,-1.421017754,3.125153414,0.74685715,0.96687376,-3.391421849,1.622060291,-0.799621099,-1.44154784,1.500108193,1.151497385,0.928212329,0.080130729,0.704459263,-0.447057227,0.875467745,1.192240953,-2.072318309,0.879993195,-0.699699038,0.6472692,0.235928249,-0.692469729,0.069043105,-0.432185609,0.04019765,0.056826744,0.985015332,0.838778844,0.384261784
9,4.272750003,-0.324420984,6.220637661,0.455022194,0.054572275,0.788411092,0.634667053,-0.249635389,0.170293297,-0.573503764,1.785168133,-2.087833239,-1.87522033,-0.407047478,1.417612685,1.0673115,1.146335516,0.906840581,1.236638184,1.296886061,3.974402406,0.010154098,0.082852649,1.131744532,-0.294896173,-1.179511837,0.958378396,-0.413805392,-0.490799678,-0.873825737,-0.575052398,-0.395453313,0.276854727,0.375239976,-0.570244375,-0.33626556,1.172953332,0.903228893,2.695106534,-0.878685254
25,-0.193349943,-10.26827468,0.132349122,4.849459995,-0.005620063,-0.636066675,-0.254921208,1.098700942,2.695998082,2.374481667,-1.08619358,0.721275194,-0.805869117,-0.970900784,-0.135774903,-0.044034204,4.973849984,1.857911882,2.237826916,-1.124902447,1.003561809,-0.229739086,0.618147537,1.211455646,-0.679835755,0.462084334,-1.024622095,-0.618526939,-1.099089048,0.626903121,-0.149182976,0.027897379,0.662960949,-0.243679781,-0.345130318,-1.209719377,1.417176883,-0.47846645,-0.164197809,-0.067384989
-22,3.251031474,11.14436727,-0.818995258,-3.825434918,-1.207229387,1.588375294,-1.872540586,2.653561415,-2.04340524,0.653565207,0.141554565,-4.483332061,-0.46747482,1.248443633,-1.218464766,-0.135259067,-1.803141131,-1.338928723,-3.712986028,-0.942526407,1.882584583,0.789200343,-2.510029324,2.176881654,0.207093508,-1.169694579,-0.658908782,0.132687891,-0.520309372,-0.025739734,-1.802890271,0.366245278,2.275697313,0.624652566,-1.191761481,-0.9814415,2.077890135,-0.72674802,-0.738401896,-0.68227981
